state,hospital,LHN,remoteness,beds,peer_group,ED,ES,NAP,hospital name,Phone_ number,Street _address,Suburb,Postcode,State_add,Latitude,Longitude
NSW,Morisset,Hunter New England,Major Cities,102.7,Psychiatric,No,No,No,Morisset Hospital,02 4973 0222,Dora Street,Morisset,2264,NSW,-33.128549,151.512816
NSW,Moruya,Southern NSW,Inner Regional,62.5,Public acute group C,Yes,Yes,Yes,Moruya Hospital,02 4474 2666,2-10 River Street,Moruya,2537,NSW,-35.904137,150.070774
NSW,Mount Druitt,Western Sydney,Major Cities,84.6,Public acute group B,Yes,Yes,Yes,Mount Druitt Hospital,02 9881 1555,75 Railway Street,Mount Druitt,2770,NSW,-33.765929,150.829646
NSW,Mudgee,Western NSW,Inner Regional,28,Public acute group C,Yes,Yes,Yes,Mudgee Health Service,02 6378 6222,Meares Street,Mudgee,2850,NSW,-32.603229,149.588179
NSW,Murrumburrah - Harden (MPS),Murrumbidgee,Inner Regional,33,Public acute group D,Yes,No,Yes,Murrumburrah-Harden Hospital,02 6386 2200,54 Swift Street,Harden,2587,NSW,-34.555254,148.360186
NSW,Murrurundi,Hunter New England,Outer Regional,8,Public acute group D,Yes,No,Yes,Wilson Memorial Hospital-Murrurundi Hospital,02 6546 9000,59 O'Connell St,Murrurundi,2338,NSW,-31.76946,150.83473
NSW,Murwillumbah,Northern NSW,Major Cities,54,Public acute group C,Yes,Yes,Yes,Murwillumbah Hospital,02 6672 1822,8 Ewing Street,Murwillumbah,2484,NSW,-28.323417,153.400811
NSW,Muswellbrook,Hunter New England,Inner Regional,59.3,Public acute group C,Yes,Yes,Yes,Muswellbrook Hospital,02 6542 2000,36 Brentwood Street,Muswellbrook,2333,NSW,-32.264545,150.900263
NSW,Narrabri,Hunter New England,Outer Regional,30.6,Public acute group C,Yes,Yes,Yes,Narrabri Hospital,02 6799 2800,11 Cameron Street,Narrabri,2390,NSW,-30.325869,149.777108
NSW,Narrandera,Murrumbidgee,Outer Regional,20.3,Public acute group C,Yes,Yes,Yes,Narrandera Hospital,02 6951 0200,54 Adams Street,Narrandera,2700,NSW,-34.743181,146.547661
NSW,Narromine,Western NSW,Outer Regional,10.3,Public acute group D,Yes,No,Yes,Narromine Health Service,02 6889 9600,128 Cathundral Street,Narromine,2821,NSW,-32.24261,148.239201
NSW,Nepean,Nepean Blue Mountains,Major Cities,584.9,Principal referral,Yes,Yes,Yes,Nepean Hospital,02 4734 2000,Derby Street,Kingswood,2747,NSW,-33.759865,150.712627
NSW,Neringah,Northern Sydney,Major Cities,15,Mixed subacute and non-acute,No,No,Yes,Neringah Hospital,02 9488 2200,4-12 Neringah Avenue,Wahroonga,2076,NSW,-33.717856,151.114556
NSW,Nimbin (MPS),Northern NSW,Inner Regional,13.6,Very small,Yes,No,Yes,Nimbin Multi Purpose Service,02 6689 1400,35 Cullen Street,Nimbin,2480,NSW,-28.597371,153.223185
NSW,Northern Beaches,Northern Sydney,Major Cities,,Public acute group A,Yes,Yes,Yes,Northern Beaches,02 9105 5000,105 Frenchs Forest Rd W,Frenchs Forest,2086,NSW,-33.750646,151.233770
NSW,NSCCAHS Acute and Post-acute Centre (APAC),Northern Sydney,Major Cities,,Unknown,No,No,No,NSCCAHS Acute and Post-acute Centre (APAC),02 9926 7292,"Level 13, Royal North Shore Hospital",St Leonards,2065,NSW,-33.82083,151.19167
NSW,Nyngan (MPS),Western NSW,Remote,39.3,Public acute group D,Yes,No,Yes,Nyngan Multi Purpose Service,02 6835 1700,Hospital Road,Nyngan,2825,NSW,-31.560024,147.208772
NSW,Oberon (MPS),Western NSW,Inner Regional,18,Public acute group D,Yes,No,Yes,Oberon Multi Purpose Service,02 6336 7200,67-73 North Street,Oberon,2787,NSW,-33.705249,149.853596
NSW,Orange Health Service,Western NSW,Inner Regional,315.1,Public acute group A,Yes,Yes,Yes,Orange Health Service,02 6369 3000,1502 Forest Road,Orange,2800,NSW,-33.3209,149.09505
NSW,Pambula,Southern NSW,Outer Regional,17.9,Public acute group D,Yes,No,Yes,Pambula Hospital,02 6495 8200,Merimbola Street,Pambula,2549,NSW,-36.926316,149.879232
NSW,Parkes,Western NSW,Outer Regional,31.6,Public acute group C,Yes,Yes,Yes,Parkes Hospital,02 6861 2400,2 Morrissey Way,Parkes,2870,NSW,-33.15261,148.16989
NSW,Peak Hill,Western NSW,Outer Regional,4,Very small,Yes,No,Yes,Peak Hill Multipurpose Service,02 6861 7100,111 Newell Highway,Peak Hill,2869,NSW,-32.735907,148.199615
NSW,Port Kembla,Illawarra Shoalhaven,Major Cities,57,Mixed subacute and non-acute,No,No,Yes,Port Kembla Hospital,02 4223 8000,89-91 Cowper Street,Warrawong,2502,NSW,-34.485923,150.881778
NSW,Port Macquarie,Mid North Coast,Inner Regional,222,Public acute group A,Yes,Yes,Yes,Port Macquarie Hospital,02 6581 2000,1-31 Wrights Road,Port Macquarie,2444,NSW,-31.452336,152.878304
NSW,Portland,Nepean Blue Mountains,Inner Regional,26,Very small,No,No,No,Portland Hospital,02 6359 2666,20 Green Street,Portland,2847,NSW,-33.358415,149.978565
NSW,Prince Albert Tenterfield,Hunter New England,Outer Regional,18,Public acute group D,Yes,No,Yes,Prince Albert Tenterfield Hospital,02 6739 5200,1 Naas St,Tenterfield,2372,NSW,-29.0441,152.01349
NSW,Prince of Wales,South Eastern Sydney,Major Cities,496.7,Principal referral,Yes,Yes,Yes,Prince of Wales Hospital,02 9382 2222,320-346 Barker Street,Randwick,2031,NSW,-33.918492,151.23938
NSW,Queanbeyan,Southern NSW,Major Cities,35.4,Public acute group C,Yes,Yes,Yes,Queanbeyan Hospital,02 6150 7000,16 Erin Street,Queanbeyan,2620,NSW,-35.347685,149.232294
NSW,Quirindi,Hunter New England,Outer Regional,10,Public acute group D,Yes,No,Yes,Quirindi Hospital,02 6746 0200,Nowland Street,Quirindi,2343,NSW,-31.500345,150.676621
NSW,Riverlands Drug and Alcohol Centre,Northern NSW,Inner Regional,9,Drug and alcohol hospital,No,No,No,Riverlands Drug and Alcohol Centre,02 6620 7600,Hunter Street,Lismore,2480,NSW,-28.80834,153.29112
NSW,Royal For Women,South Eastern Sydney,Major Cities,101.3,Womens,No,Yes,Yes,Royal Hospital for Women,02 9382 6111,Barker Street,Randwick,2031,NSW,-33.919035,151.237938
NSW,Royal North Shore,Northern Sydney,Major Cities,688.5,Principal referral,Yes,Yes,Yes,Royal North Shore Hospital,02 9926 7111,1 Reserve Road,St Leonards,2065,NSW,-33.821312,151.189735
NSW,Royal Prince Alfred,Sydney,Major Cities,772.2,Principal referral,Yes,Yes,Yes,Royal Prince Alfred Hospital,02 9515 6111,50 Missenden Road,Camperdown,2050,NSW,-33.889251,151.182926
NSW,Royal Rehabilitation,Northern Sydney,Major Cities,47,Rehabilitation and GEM,No,No,Yes,Royal Rehabilitation Hospital,02 9807 1144,227-259 Morrison Road,Ryde,2112,NSW,-33.821772,151.107845
NSW,RPAH Institute of Rheumatology & Orthopaedics,Sydney,Major Cities,12.4,Other public acute specialised,No,Yes,Yes,Royal Prince Alfred Institute of Rheumatology & Orthopaedics,02 9515 6111,57 - 59 Missenden Road,Camperdown,2050,NSW,-33.88828,151.180707
NSW,Ryde,Northern Sydney,Major Cities,131.5,Public acute group B,Yes,Yes,Yes,Ryde Hospital,02 9858 7888,Denistone Road,Eastwood,2122,NSW,-33.795482,151.089756
NSW,Rylstone (MPS),Western NSW,Outer Regional,29.8,Public acute group D,Yes,No,Yes,Rylstone Multi Purpose Service,02 6357 8100,24 Fitzgerald Street,Rylstone,2849,NSW,-32.804085,149.975652
NSW,Scott Memorial Scone,Hunter New England,Inner Regional,45.2,Public acute group C,Yes,Yes,Yes,Scott Memorial Scone Hospital,02 6540 2100,Stafford St,Scone,2337,NSW,-32.051525,150.876864
NSW,Shellharbour,Illawarra Shoalhaven,Major Cities,178.8,Public acute group B,Yes,Yes,Yes,Shellharbour Hospital,02 4295 2500,15-17 Madigan Boulevarde,Mount Warrigal,2528,NSW,-34.558987,150.840947
NSW,Shoalhaven Memorial,Illawarra Shoalhaven,Inner Regional,185.3,Public acute group A,Yes,Yes,Yes,Shoalhaven Memorial Hospital,02 4423 9500,Scenic Dr,Nowra,2541,NSW,-34.868767,150.595736
NSW,Singleton,Hunter New England,Inner Regional,51.6,Public acute group C,Yes,Yes,Yes,Singleton Hospital,02 6571 9222,Lot 20 Dangar Road,Singleton,2330,NSW,-32.567087,151.185736
NSW,Springwood,Nepean Blue Mountains,Major Cities,30.5,Public acute group C,No,Yes,Yes,Springwood Hospital,02 4751 0300,7-9 Huntley Grange Road,Springwood,2777,NSW,-33.690486,150.571129
NSW,St George,South Eastern Sydney,Major Cities,597.2,Principal referral,Yes,Yes,Yes,St George Hospital NSW,02 9113 1111,30 Gray Street,Kogarah,2217,NSW,-33.966969,151.133776
NSW,St Joseph's Auburn,St Vincent's Health Network,Major Cities,42.9,Mixed subacute and non-acute,No,No,Yes,St Joseph's Hospital,02 9649 8941,Normanby Road,Auburn,2144,NSW,-33.848659,151.028339
NSW,St Vincent's Darlinghurst,St Vincent's Health Network,Major Cities,350.6,Principal referral,Yes,Yes,Yes,St Vincents Hospital,02 8382 1111,390 Victoria Street,Darlinghurst,2010,NSW,-33.879692,151.221125
NSW,Sutherland,South Eastern Sydney,Major Cities,334.4,Public acute group A,Yes,Yes,Yes,Sutherland Hospital,02 9540 7111,430 Kingsway,Caringbah,2229,NSW,-34.037288,151.115151
NSW,Sydney Children's,Sydney Children's Hospitals Network,Major Cities,149.7,Childrens,Yes,Yes,Yes,Sydney Children's Hospital,02 9382 1111,High Street,Randwick,2031,NSW,-33.917179,151.238334
NSW,Sydney Dental,Sydney,Major Cities,,Unpeered,No,No,Yes,Sydney Dental Hospital,02 9293 3200,2 Chalmers Street,Surry Hills,2010,NSW,-33.884469,151.207811
NSW,Sydney/ Sydney Eye,South Eastern Sydney,Major Cities,51.6,Public acute group B,Yes,Yes,Yes,Sydney Hospital / Sydney Eye Hospital,02 9382 7111,8 Macquarie Street,Sydney,2000,NSW,-33.867929,151.212575
NSW,Tamworth,Hunter New England,Inner Regional,327.5,Public acute group A,Yes,Yes,Yes,Tamworth Hospital,02 6767 7700,31 Dean Street,Tamworth,2340,NSW,-31.074079,150.924199
NSW,Temora,Murrumbidgee,Outer Regional,24.9,Public acute group C,Yes,Yes,Yes,Temora Hospital,02 6980 0200,169 Loftus Street,Temora,2666,NSW,-34.443942,147.542616
NSW,The Tweed Hospital,Northern NSW,Major Cities,254.6,Public acute group A,Yes,Yes,Yes,The Tweed Hospital,07 5536 1133,14 Powell Street,Tweed Heads,2485,NSW,-28.177216,153.545458
NSW,Thomas Walker,Sydney,Major Cities,13.7,Psychiatric,No,No,No,Thomas Walker Hospital,02 9736 2288,Hospital Road,Concord West,2138,NSW,-33.832336,151.097897
NSW,Tibooburra,Far West,Very Remote,,Outpatient hospital,Yes,No,Yes,Tibooburra Hospital,08 8091 3302,Sturt Street,Tibooburra,2880,NSW,-29.433211,142.012817
NSW,Tingha (MPS),Hunter New England,Outer Regional,9,Outpatient hospital,Yes,No,Yes,Tingha Multi Purpose Service,02 6723 3901,Inverell Road,Tingha,2369,NSW,-29.950779,151.206732
NSW,Tocumwal,Murrumbidgee,Inner Regional,6,Public acute group D,Yes,No,Yes,Tocumwal Hospital,03 5874 2166,Adams Street,Tocumwal,2714,NSW,-35.815407,145.568996
NSW,Tomaree Community,Hunter New England,Inner Regional,14,Public acute group D,Yes,No,Yes,Tomaree Hospital,02 4984 0700,2 Trevally Street,Nelson Bay,2315,NSW,-32.720053,152.158858
NSW,Tottenham (MPS),Western NSW,Remote,10,Very small,Yes,No,Yes,Tottenham Multipurpose Service,02 6891 6200,Lot 10 Moondana Street,Tottenham,2873,NSW,-32.242711,147.358031
NSW,Trangie (MPS),Western NSW,Outer Regional,20,Very small,Yes,No,Yes,Trangie Multi Purpose Service,02 6880 8200,28 Harris Street,Trangie,2823,NSW,-32.030813,147.976355
NSW,Tresillian Care Centres,Sydney,Major Cities,62.1,Early parenting centres,No,No,Yes,Tresillian Care Centres,02 9787 0800,McKenzie Street,Belmore,2192,NSW,-33.918732,151.097526
NSW,Trundle (MPS),Western NSW,Outer Regional,11,Very small,Yes,No,Yes,Trundle Multi Purpose Health Service,02 6892 1051,44 Brookview Street,Trundle,2875,NSW,-32.921078,147.704315
NSW,Tullamore (MPS),Western NSW,Outer Regional,14,Very small,Yes,No,Yes,Tullamore Multi Purpose Health Service,02 6891 3100,1 Hinkler Street,Tullamore,2874,NSW,-32.635114,147.568997
NSW,Tumbarumba (MPS),Murrumbidgee,Outer Regional,36.7,Public acute group D,Yes,No,Yes,Tumbarumba Multi Purpose Service,02 6948 9600,4 Mitchell Street,Tumbarumba,2653,NSW,-35.778706,148.006203
NSW,Tumut,Murrumbidgee,Inner Regional,28.6,Public acute group C,Yes,Yes,Yes,Tumut Hospital,02 6947 0800,105 Simpson Street,Tumut,2720,NSW,-35.307265,148.219552
NSW,Urana (MPS),Murrumbidgee,Outer Regional,21.7,Very small,Yes,No,Yes,Urana Multi Purpose Service,02 6920 8106,127-129 Princess Street,Urana,2645,NSW,-35.325419,146.267316
NSW,Urbenville (MPS),Northern NSW,Outer Regional,18,Very small,Yes,No,Yes,Urbenville Multi Purpose Service,02 6634 1600,45 Beaury Street,Urbenville,2475,NSW,-28.471511,152.543029
NSW,Vegetable Creek (MPS),Hunter New England,Outer Regional,17,Very small,Yes,No,Yes,Vegetable Creek Multi Purpose Service Emmaville,02 6734 7900,13-33 Glen Innes Road,Emmaville,2371,NSW,-29.450547,151.599204
NSW,Wagga Wagga,Murrumbidgee,Inner Regional,321.9,Public acute group A,Yes,Yes,Yes,Wagga Wagga Hospital,02 5943 1000,260-280 Edward Street,Wagga Wagga,2650,NSW,-35.118083,147.356915
NSW,Walcha (MPS),Hunter New England,Outer Regional,24,Public acute group D,Yes,No,Yes,Walcha Multi Purpose Service,02 6774 2366,Middle Street,Walcha,2354,NSW,-30.987818,151.591415
NSW,Walgett (MPS),Western NSW,Remote,16,Public acute group D,Yes,No,Yes,Walgett Multipurpose Service,02 6828 6000,141 Fox Street,Walgett,2832,NSW,-30.030646,148.115959
NSW,Warialda (MPS),Hunter New England,Outer Regional,25,Public acute group D,Yes,No,Yes,Warialda Multi Purpose Service,02 6728 9000,Long Street,Warialda,2402,NSW,-29.538835,150.579567
NSW,Warren (MPS),Western NSW,Outer Regional,39.8,Public acute group D,Yes,No,Yes,Warren Multi Purpose Service,02 6847 7200,Lot 176 Dr Kater Drive,Warren,2824,NSW,-31.693958,147.835679
NSW,Wauchope,Mid North Coast,Inner Regional,23.2,Public acute group C,No,Yes,Yes,Wauchope Hospital,02 6580 8000,69 High Street,Wauchope,2446,NSW,-31.457239,152.728131
NSW,Waverley War Memorial,South Eastern Sydney,Major Cities,42.9,Rehabilitation and GEM,No,No,Yes,War Memorial Hospital,02 9369 0100,125 Birrell Street,Waverley,2024,NSW,-33.897496,151.253816
NSW,Wee Waa,Hunter New England,Outer Regional,16,Public acute group D,Yes,No,Yes,Wee Waa Hospital,02 6795 0400,60 Alma Street,Wee Waa,2388,NSW,-30.225439,149.448287
NSW,Wellington,Western NSW,Outer Regional,12.1,Public acute group D,Yes,No,Yes,Wellington Health Service,02 6840 8200,30 Thornton Street,Wellington,2820,NSW,-32.549741,148.951977
NSW,Wentworth,Far West,Outer Regional,11.8,Very small,No,No,Yes,Wentworth Hospital,03 5027 7111,Silver City Highway,Wentworth,2648,NSW,-34.109983,141.922481
NSW,Wentworth Psychiatric Services,Nepean Blue Mountains,Major Cities,11,Unpeered,No,No,No,Wentworth Psychiatric Services,02 4734 2000,Derby Street,Penrith,2750,NSW,-33.760249,150.712613
NSW,Werris Creek (MPS),Hunter New England,Inner Regional,20,Very small,Yes,No,Yes,Werris Creek Hospital,02 6768 6600,22-34 North Street,Werris Creek,2341,NSW,-31.346691,150.652513
NSW,Westmead,Western Sydney,Major Cities,802.6,Principal referral,Yes,Yes,Yes,Westmead Hospital,02 8890 5555,166-174 Darcy Road,Westmead,2145,NSW,-33.804362,150.987811
NSW,Wilcannia (MPS),Far West,Very Remote,8,Very small,Yes,No,Yes,Wilcannia Multi Purpose Service,08 8083 8777,14 Ross Street,Wilcannia,2836,NSW,-31.557638,143.385336
NSW,Wingham,Hunter New England,Inner Regional,16,Rehabilitation and GEM,No,No,Yes,Wingham Hospital,02 6557 3400,32 Bungay Road,Wingham,2429,NSW,-31.878104,152.365179
NSW,Wollongong,Illawarra Shoalhaven,Major Cities,504.4,Principal referral,Yes,Yes,Yes,Wollongong Hospital,02 4222 5000,348 Crown Street,Wollongong,2500,NSW,-34.424938,150.883451
NSW,Woy Woy,Central Coast,Major Cities,52.2,Mixed subacute and non-acute,No,No,Yes,Woy Woy Hospital,02 4344 8444,7 Kathleen Street,Woy Woy,2256,NSW,-33.496716,151.320952
NSW,Wyalong,Murrumbidgee,Outer Regional,22,Public acute group D,Yes,No,Yes,Wyalong Hospital,02 6979 0000,70 Ungarie Road,West Wyalong,2671,NSW,-33.916373,147.196483
NSW,Wyong,Central Coast,Major Cities,339.1,Public acute group A,Yes,Yes,Yes,Wyong Hospital,02 4394 8000,664 Pacific Highway,Hamlyn Terrace,2259,NSW,-33.261113,151.480761
NSW,Yass,Southern NSW,Inner Regional,11.3,Public acute group D,Yes,No,Yes,Yass Hospital,02 6220 2000,145-147 Meehan Street,Yass,2582,NSW,-34.844072,148.906427
NT,Alice Springs Hospital,NT Regional Health Services (NTRHS),Remote,364,Public acute group A,Yes,Yes,Yes,Alice Springs Hospital,08 8951 7777,6 Gap Road,Alice Springs,0870,NT,-23.705758,133.878064
NT,Gove District Hospital,NT Regional Health Services (NTRHS),Very Remote,30,Public acute group C,Yes,Yes,Yes,Gove Hospital,08 8987 0211,80 Matthew Flinders Way,Nhulunbuy,0880,NT,-12.18602,136.777874
NT,Katherine Hospital,NT Regional Health Services (NTRHS),Remote,62,Public acute group C,Yes,Yes,Yes,Katherine Hospital,08 8973 9211,Gorge Road,Katherine,0850,NT,-14.439002,132.272129
NT,Palmerston Regional Hospital,NT Regional Health Services (NTRHS),Outer Regional,115,Public acute group C,Yes,Yes,Yes,Palmerston Regional Hospital,08 7979 9200,Linco Rd,Holtze,0829,NT,-12.475079,131.004464
NT,Royal Darwin Hospital,NT Regional Health Services (NTRHS),Outer Regional,458,Principal referral,Yes,Yes,Yes,Royal Darwin Hospital,08 8922 8888,Rocklands Drive,Tiwi,0810,NT,-12.355806,130.881789
NT,Tennant Creek Hospital,NT Regional Health Services (NTRHS),Very Remote,43,Public acute group C,Yes,Yes,Yes,Tennant Creek Hospital,08 8962 4399,41 Schmidt Street,Tennant Creek,0860,NT,-19.647791,134.186893
QLD,Alpha Hospital,Central West (Qld),Very Remote,4,Very small,No,No,Yes,Alpha Hospital,07 4809 7000,1 Burns Street,Alpha,4724,QLD,-23.649039,146.632962
QLD,Atherton Hospital,Cairns and Hinterland,Outer Regional,62,Public acute group C,No,Yes,Yes,Atherton Hospital,07 4091 0211,Corner of Louise and Jack Streets,Atherton,4883,QLD,-17.266635,145.483177
QLD,Augathella Hospital,South West (Qld),Very Remote,4,Very small,No,No,Yes,Augathella Hospital,07 4656 7100,Cavanagh Street,Augathella,4477,QLD,-25.796104,146.590919
QLD,Ayr Hospital,Townsville,Outer Regional,31,Public acute group C,No,Yes,Yes,Ayr Hospital,07 4783 0855,2 Chippendale Street,Ayr,4807,QLD,-19.564066,147.408821
QLD,Babinda Hospital,Cairns and Hinterland,Outer Regional,11,Public acute group D,No,No,Yes,Babinda Hospital,07 4067 8200,128 Munro Street,Babinda,4861,QLD,-17.343079,145.918908
QLD,Baillie Henderson Hospital,Darling Downs,Inner Regional,108,Psychiatric,No,No,No,Baillie Henderson Hospital,07 4699 8888,Corner of Hogg and Tor Streets,Toowoomba,4350,QLD,-27.524371,151.936283
QLD,Bamaga Hospital,Torres and Cape,Very Remote,16,Public acute group D,No,No,Yes,Bamaga Hospital,07 4069 3166,Sagaukaz Street,Bamaga,4876,QLD,-10.893996,142.385131
QLD,Baralaba Hospital,Central Queensland,Outer Regional,5,Very small,No,No,Yes,Baralaba Hospital,07 4998 2800,Stopford Street,Baralaba,4702,QLD,-24.184268,149.809586
QLD,Barcaldine Hospital,Central West (Qld),Very Remote,12,Public acute group D,No,No,Yes,Barcaldine Hospital,07 4650 4000,Oak Street,Barcaldine,4725,QLD,-23.553316,145.293674
QLD,Beaudesert Hospital,Metro South (Qld),Inner Regional,28,Public acute group D,No,Yes,Yes,Beaudesert Hospital,07 5541 9111,64 Tina Street,Beaudesert,4285,QLD,-27.984869,153.002536
QLD,Biggenden Hospital,Wide Bay,Outer Regional,7,Public acute group D,No,No,Yes,Biggenden Hospital,07 4127 6400,Alice Street,Biggenden,4621,QLD,-25.506406,152.051099
QLD,Biloela Hospital,Central Queensland,Outer Regional,19,Public acute group C,No,Yes,Yes,Biloela Hospital,07 4992 7000,2 Hospital Road,Biloela,4715,QLD,-24.395813,150.517491
QLD,Blackall Hospital,Central West (Qld),Very Remote,11,Public acute group D,No,No,Yes,Blackall Hospital,07 4650 7700,Shamrock Street,Blackall,4472,QLD,-24.422705,145.449349
QLD,Blackwater Hospital,Central Queensland,Outer Regional,10,Public acute group D,No,No,Yes,Blackwater Hospital,07 4980 1800,Mackenzie Street,Blackwater,4717,QLD,-23.571873,148.878219
QLD,Boonah Hospital,West Moreton,Inner Regional,22,Public acute group D,No,No,Yes,Boonah Hospital,07 5463 3300,11-17 Leonard Street,Boonah,4310,QLD,-27.999128,152.678943
QLD,Bowen Hospital,Mackay,Outer Regional,27,Public acute group C,No,No,Yes,Bowen Hospital,07 4786 8222,Gregory Street,Bowen,4805,QLD,-20.007104,148.240327
QLD,Bundaberg Base Hospital,Wide Bay,Inner Regional,245,Public acute group A,Yes,Yes,Yes,Bundaberg Base Hospital,07 4150 2222,Bourbong Street,Bundaberg,4670,QLD,-24.868877,152.336157
QLD,Caboolture Hospital,Metro North (Qld),Major Cities,295,Public acute group B,Yes,Yes,Yes,Caboolture Hospital,07 5433 8888,McKean Street,Caboolture,4510,QLD,-27.080776,152.963623
QLD,Cairns Hospital,Cairns and Hinterland,Outer Regional,655,Public acute group A,Yes,Yes,Yes,Cairns Hospital,07 4226 0000,The Esplanade,Cairns,4870,QLD,-16.912537,145.768522
QLD,Caloundra Hospital,Sunshine Coast,Major Cities,35,Public acute group B,No,Yes,Yes,Caloundra Hospital,07 5436 8500,West Terrace,Caloundra,4551,QLD,-26.800582,153.119759
QLD,Capricorn Coast Hospital,Central Queensland,Inner Regional,22,Public acute group C,No,No,Yes,Capricorn Coast Hospital,07 4913 3000,8 Hoskyn Drive,Yeppoon,4703,QLD,-23.143888,150.734519
QLD,Charleville Hospital,South West (Qld),Very Remote,21,Public acute group C,No,Yes,Yes,Charleville Hospital,07 4650 5000,72 King Street,Charleville,4470,QLD,-26.410455,146.239228
QLD,Charters Towers Hospital,Townsville,Outer Regional,26,Public acute group D,No,No,Yes,Charters Towers Hospital,07 4787 0333,137-139 Gill Street,Charters Towers,4820,QLD,-20.076167,146.264097
QLD,Cherbourg Hospital,Darling Downs,Inner Regional,12,Public acute group C,No,No,Yes,Cherbourg Hospital,07 4169 8800,Fisher Street,Cherbourg,4605,QLD,-26.291519,151.956324
QLD,Childers Hospital,Wide Bay,Inner Regional,16,Public acute group D,No,No,Yes,Childers Hospital,07 4192 1133,44 Broadhurst Street,Childers,4660,QLD,-25.239416,152.273286
QLD,Chinchilla Hospital,Darling Downs,Outer Regional,10,Public acute group C,No,Yes,Yes,Chinchilla Hospital,07 4662 8888,Slessar Street,Chinchilla,4413,QLD,-26.741337,150.634939
QLD,Clermont Hospital,Mackay,Remote,10,Public acute group D,No,No,Yes,Clermont Hospital,07 4983 4000,Francis Street,Clermont,4721,QLD,-22.826219,147.632174
QLD,Cloncurry Hospital,North West (Qld),Remote,15,Public acute group D,No,No,Yes,Cloncurry Hospital,07 4742 4500,1 Musgrave Street,Cloncurry,4824,QLD,-20.704166,140.527571
QLD,Collinsville Hospital,Mackay,Remote,8,Public acute group D,No,No,Yes,Collinsville Hospital,07 4785 4777,Garrick Street,Collinsville,4804,QLD,-20.546108,147.838146
QLD,Cooktown Hospital,Torres and Cape,Remote,27,Public acute group D,No,Yes,Yes,Cooktown Hospital,07 4043 0100,48 Hope Street,Cooktown,4895,QLD,-15.478067,145.249616
QLD,Cunnamulla Hospital,South West (Qld),Very Remote,7,Public acute group D,No,No,Yes,Cunnamulla Hospital,07 4655 8100,56 Wicks Street,Cunnamulla,4490,QLD,-28.071658,145.690405
QLD,Dalby Hospital,Darling Downs,Inner Regional,28,Public acute group C,No,Yes,Yes,Dalby Hospital,07 4669 0555,Hospital Road,Dalby,4405,QLD,-27.167153,151.278905
QLD,Dirranbandi Hospital,South West (Qld),Very Remote,7,Public acute group D,No,No,Yes,Dirranbandi Hospital,07 4625 8222,Corner of Jane and Cowildi Streets,Dirranbandi,4486,QLD,-28.579349,148.229159
QLD,Doomadgee Hospital,North West (Qld),Very Remote,5,Public acute group D,No,No,Yes,Doomadgee Hospital,07 4745 8800,Sharpe Street,Doomadgee,4830,QLD,-17.942527,138.825267
QLD,Dysart Hospital,Mackay,Outer Regional,9,Public acute group D,No,No,Yes,Dysart Hospital,07 4941 1911,Queen Elizabeth Drive,Dysart,4745,QLD,-22.582729,148.353044
QLD,Eidsvold Hospital,Wide Bay,Outer Regional,4,Public acute group D,No,No,Yes,Eidsvold Hospital,07 4165 7100,Cracow Road,Eidsvold,4627,QLD,-25.382639,151.125494
QLD,Ellen Barron Family Centre (Riverton),Children's Health Queensland,Major Cities,26,Early parenting centres,No,No,No,Ellen Barron Family Centre,07 3139 6500,Hamilton Road,Chermside,4032,QLD,-27.385905,153.025152
QLD,Emerald Hospital,Central Queensland,Outer Regional,36,Public acute group C,No,Yes,Yes,Emerald Hospital,07 4987 9400,69 Hospital Road,Emerald,4720,QLD,-23.514826,148.154989
QLD,Esk Hospital,West Moreton,Inner Regional,20,Public acute group D,No,No,Yes,Esk Hospital,07 5424 4600,30 Highland Street,Esk,4312,QLD,-27.240398,152.418179
QLD,Gatton Hospital,West Moreton,Inner Regional,25,Public acute group D,No,No,Yes,Gatton Hospital,07 5468 4188,97-103 William Street,Gatton,4343,QLD,-27.566778,152.276269
QLD,Gayndah Hospital,Wide Bay,Outer Regional,10,Public acute group D,No,No,Yes,Gayndah Hospital,07 4161 3500,69 Warton Street,Gayndah,4625,QLD,-25.631384,151.604531
QLD,Gin Gin Hospital,Wide Bay,Outer Regional,6,Public acute group D,No,No,Yes,Gin Gin Hospital,07 4157 2222,5 King Street,Gin Gin,4671,QLD,-24.985707,151.953449
QLD,Gladstone Hospital,Central Queensland,Inner Regional,94,Public acute group B,Yes,Yes,Yes,Gladstone Hospital,07 4976 3200,Park Street,Gladstone,4680,QLD,-23.850654,151.248532
QLD,Gold Coast University Hospital,Gold Coast,Major Cities,932,Principal referral,Yes,Yes,Yes,Gold Coast University Hospital,07 5687 0000,1 Hospital Boulevard,Southport,4215,QLD,-27.958896,153.381173
QLD,Goondiwindi Hospital,Darling Downs,Outer Regional,20,Public acute group C,No,Yes,Yes,Goondiwindi Hospital,07 4578 2400,Bowen Street,Goondiwindi,4390,QLD,-28.547951,150.302302
QLD,Gordonvale Hospital,Cairns and Hinterland,Outer Regional,24,Mixed subacute and non-acute,No,No,Yes,Gordonvale Hospital,07 4043 3100,1-11 Highleigh Road,Gordonvale,4865,QLD,-17.087337,145.786159
